Title,Price,Operating system,Display diagonal,Memory,Main Camera,Front Camera,Delivery,Manufacturer,Manufacturer's country,Features
Смартфон Tecno Spark 6 (KE7) 4/128Gb Ocean Blue,69 290 ₸,Android 10,"6,8″ - 17,27 см",128 GB,16 Mpx + 2 Mpx + 2 Mpx + 0.3 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения"
Смартфон Tecno Spark 6 (KE7) 4/64Gb Comet Black,64 890 ₸,Android 10,"6,8″ - 17,27 см",64 GB,16 Mpx + 2 Mpx + 2 Mpx + 0.3 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения"
Смартфон Tecno Spark 6 (KE7) 4/64Gb Ocean Blue,64 890 ₸,Android 10,"6,8″ - 17,27 см",64 GB,16 Mpx + 16 Mpx + 2 Mpx + 2 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения"
Смартфон Tecno Spark 6 Go 2/32Gb (KE5) Aqua Blue,46 090 ₸,Android 10,"6,5″ - 16,51 см",32 GB,13 Mpx + 2 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения"
Смартфон Tecno Spark 6 Go 2/32Gb (KE5) Ice Jadeite,46 090 ₸,Android 10,"6,5″ - 16,51 см",32 GB,13 Mpx + 2 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения. Функции камеры: AI HDR, эффект боке, AI бьютификация, AI автоопределение сцены, разблокировка по лицу"
Смартфон Tecno Spark 6 Go 3/64Gb (KE5j)  Ice Jadeite,54 490 ₸,Android 10,"6,5″ - 16,51 см",64 GB,13 Mpx + 2 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения"
Смартфон Tecno Spark 6 Go 3/64Gb (KE5j) Aqua Blue,54 490 ₸,Android 10,"6,5″ - 16,51 см",64 GB,13 Mpx + 2 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения. Функции камеры: AI HDR, эффект боке, AI бьютификация, AI автоопределение сцены, разблокировка по лицу"
Смартфон Vivo V17 Knight Black,119 990 ₸,Android 9.0,"6,38″ - 16.21 см",128 GB,48 Mpx + 8 Mpx + 2 Mpx + 2 Mpx,32 Mpx,бесплатно,Vivo,Китай,"Датчики: Акселеромет, освещенности, приближения, электронный компас, гироскоп. Определение местоположения GPS, ГЛОНАСС, BeiDou, Galileo"
Смартфон Vivo V17 Nebula Blue,119 990 ₸,Android 9.0,"6,38″ - 16.21 см",128 GB,48 Mpx + 8 Mpx + 2 Mpx + 2 Mpx,32 Mpx,бесплатно,Vivo,Китай,"Датчики: Акселеромет, освещенности, приближения, электронный компас, гироскоп. Определение местоположения GPS, ГЛОНАСС, BeiDou, Galileo"
Смартфон Vivo V20 Midnight Jazz,169 990 ₸,2,128 GB,64 Mpx + 8 Mpx + 2 Mpx,44 Mpx,"Поддержка 4G, Тройная камера",бесплатно,Vivo,Китай,AG матовая поверхность
