Title,Price in Tenge,Operating system,Display diagonal,Memory(GB),Main Camera,Front Camera,Delivery,Manufacturer,Features,Color
"Смартфон Realme C21Y (4/64), Blue",69990,Android 10,"6.5""",64Гб,13,5,бесплатно,RealMe,"Количество SIM-карт:2 SIM, Разрешение экрана:1600x720, Технология изготовления экрана:IPS , Датчики:gps, Тип устройства / товара:смартфон, Модель:C21Y, Цвет передней панели:чёрный, Автофокусировка:нет, Встроенная вспышка:есть, ",голубой
"Смартфон Xiaomi Redmi 10 4/128GB, Pebble White",99990,Android,"6.5""",128Гб,50,8,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi 10, Цвет передней панели:чёрный, Серия смартфона:Redmi 10, Автофокусировка:нет, Встроенная вспышка:нет, ",белый
"Смартфон Samsung Galaxy A03s 64GB, White",64890,Android 11,"6.5""",64Гб,13 + 2 + 2,5,бесплатно,Samsung,"Разрешение экрана:1600x720, Технология изготовления экрана:LCD, Количество мегапикселей основной камеры (Мп):13 + 2 + 2, Количество мегапикселей фронтальной камеры (Мп):5, Беспроводная зарядка:Нет, Тип устройства / товара:смартфон, Модель:A03s, Цвет передней панели:чёрный, Серия смартфона:Galaxy A03s, Автофокусировка:нет, Встроенная вспышка:есть, ",белый
"Смартфон Xiaomi Poco X3 Pro 6/128GB, Metal Bronze",119990,,"6.67""",128Гб,48 + 8 + 2 + 2,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Poco X3 Pro, Цвет передней панели:чёрный, Серия смартфона:Poco X3 Pro, Автофокусировка:нет, Встроенная вспышка:есть, ",бронзовый
Смартфон Xiaomi Redmi Note 10S 6-128GB Onyx Gray,119990,Android 11,"6.43""",128Гб,64,13,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:AMOLED, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi Note 10S, Цвет передней панели:чёрный, Серия смартфона:Redmi Note 10s, Автофокусировка:нет, Встроенная вспышка:есть, Дополнительные функции фотосъемки:Ночной режим. AI украсить. Портретный режим AI с боке и контролем глубины, ",серый
"Смартфон Xiaomi Redmi 10 4/64GB, Sea Blue",79990,Android,"6.5""",64Гб,50,8,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi 10, Цвет передней панели:чёрный, Серия смартфона:Redmi 10, Автофокусировка:нет, Встроенная вспышка:нет, ",голубой
"Смартфон Xiaomi Redmi 9T, 64GB (Carbon Gray)",79990,Android,"6.53""",64Гб,"4 камеры, 48+8+2+2",8,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2340x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi 9T, Цвет передней панели:чёрный, Серия смартфона:Redmi 9T, Автофокусировка:нет, Встроенная вспышка:есть, ",серый
"Смартфон Samsung Galaxy A03s 64GB, Blue",64890,Android 11,"6.5""",64Гб,13 + 2 + 2,5,бесплатно,Samsung,"Разрешение экрана:1600x720, Технология изготовления экрана:LCD, Количество мегапикселей основной камеры (Мп):13 + 2 + 2, Количество мегапикселей фронтальной камеры (Мп):5, Беспроводная зарядка:Нет, Тип устройства / товара:смартфон, Модель:A03s, Цвет передней панели:чёрный, Серия смартфона:Galaxy A03s, Автофокусировка:нет, Встроенная вспышка:есть, ",голубой
"Смартфон Xiaomi Poco X3 Pro 6/128GB, Phantom Black",119990,,"6.67""",128Гб,48 + 8 + 2 + 2,20,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:акселерометр, Тип устройства / товара:смартфон, Модель:Poco X3 Pro, Цвет передней панели:чёрный, Серия смартфона:Poco X3 Pro, Автофокусировка:нет, Встроенная вспышка:есть, ",чёрный
"Смартфон Xiaomi Redmi 10 4/64GB, Carbon Gray",79990,Android,"6.5""",64Гб,50,8,бесплатно,Xiaomi,"Количество SIM-карт:2 SIM, Разрешение экрана:2400x1080, Технология изготовления экрана:IPS , Количество ядер:8, Датчики:gps, Тип устройства / товара:смартфон, Модель:Redmi 10, Цвет передней панели:чёрный, Серия смартфона:Redmi 10, Автофокусировка:нет, Встроенная вспышка:нет, ",серый
