Title,Price,Operating_system,Display_diagonal,Memory,Main_Camera,Front_Camera,Delivery,Manufacturer,Manufacturer_country,Features,Color
Смартфон Tecno Spark 6 (KE7) 4/128Gb Comet Black,69290,Spark 6 (KE7),"6,8″ - 17,27 см",128 GB,16 Mpx + 2 Mpx + 2 Mpx + 0.3 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",Черный
Смартфон Tecno Spark 6 (KE7) 4/128Gb Ocean Blue,69290,Android 10,"6,8″ - 17,27 см",128 GB,16 Mpx + 2 Mpx + 2 Mpx + 0.3 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",Синий
Смартфон Tecno Spark 6 (KE7) 4/64Gb Comet Black,64890,Android 10,"6,8″ - 17,27 см",64 GB,16 Mpx + 2 Mpx + 2 Mpx + 0.3 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",Черный
Смартфон Tecno Spark 6 (KE7) 4/64Gb Ocean Blue,64890,Android 10,"6,8″ - 17,27 см",64 GB,16 Mpx + 16 Mpx + 2 Mpx + 2 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",Синий
Смартфон Tecno Spark 6 Go 2/32Gb (KE5) Aqua Blue,46090,Android 10,"6,5″ - 16,51 см",32 GB,13 Mpx + 2 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",Синий
Смартфон Tecno Spark 6 Go 2/32Gb (KE5) Ice Jadeite,46090,Android 10,"6,5″ - 16,51 см",32 GB,13 Mpx + 2 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения. Функции камеры: AI HDR, эффект боке, AI бьютификация, AI автоопределение сцены, разблокировка по лицу",Зеленый
Смартфон Tecno Spark 6 Go 3/64Gb (KE5j)  Ice Jadeite,54490,Android 10,"6,5″ - 16,51 см",64 GB,13 Mpx + 2 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения",Зеленый
Смартфон Tecno Spark 6 Go 3/64Gb (KE5j) Aqua Blue,54490,Android 10,"6,5″ - 16,51 см",64 GB,13 Mpx + 2 Mpx,8 Mpx,бесплатно,Tecno,Китай,"Отпечаток пальца, разблокировка с помощью распознавания лица, акселерометр, датчик приближения. Функции камеры: AI HDR, эффект боке, AI бьютификация, AI автоопределение сцены, разблокировка по лицу",Синий
Смартфон Vivo V17 Knight Black,119990,Android 9.0,"6,38″ - 16.21 см",128 GB,48 Mpx + 8 Mpx + 2 Mpx + 2 Mpx,32 Mpx,бесплатно,Vivo,Китай,"Датчики: Акселеромет, освещенности, приближения, электронный компас, гироскоп. Определение местоположения GPS, ГЛОНАСС, BeiDou, Galileo",Черный
Смартфон Vivo V17 Nebula Blue,119990,Android 9.0,"6,38″ - 16.21 см",128 GB,48 Mpx + 8 Mpx + 2 Mpx + 2 Mpx,32 Mpx,бесплатно,Vivo,Китай,"Датчики: Акселеромет, освещенности, приближения, электронный компас, гироскоп. Определение местоположения GPS, ГЛОНАСС, BeiDou, Galileo",Синий
Смартфон Vivo V20 Midnight Jazz,169990,,,128 GB,64 Mpx + 8 Mpx + 2 Mpx,44 Mpx,бесплатно,Vivo,Китай,AG матовая поверхность,Графитовый
Смартфон Vivo V20 Sunset Melody,169990,,,128 GB,64 Mpx + 8 Mpx + 2 Mpx,44 Mpx,бесплатно,Vivo,Китай,AG матовая поверхность,Фиолетовый
Смартфон Vivo V20SE Gravity Black,124990,Android 10,"6,44″ - 16,4 см",128 GB,48 Mpx + 2 Mpx + 2 Mpx,16 Mpx,бесплатно,Vivo,Китай,AG матовая поверхность,Черный
Смартфон Vivo V20SE Oxygen Blue,124990,Android 10,"6,44″ - 16,4 см",128 GB,48 Mpx + 2 Mpx + 2 Mpx,16 Mpx,бесплатно,Vivo,Китай,AG матовая поверхность,Голубой
Смартфон Vivo V21 Dusk Blue,179990,Android 11,"6,44″ - 16,4 см",128 GB,64 Mpx + 8 Mpx + 2 Mpx,44 Mpx,бесплатно,Vivo,Китай,AG матовая поверхность,Синий
