"Смартфон Xiaomi Redmi Note 10S, 6Gb, 128Gb, Onyx Gray",119990₸,Android,6.43,128 Гб,64 + 8 + 2 + 2,13,Xiaomi,,"Серый, Черный"
"Смартфон Xiaomi Mi 11 Lite, 6Gb, 128Gb, Peach Pink (M2101K9AG)",149990₸,Android,6.55,128 Гб,64 + 8 + 5,16,Xiaomi,Corning Gorilla Glass 5,"Розовый, Черный"
"Смартфон Xiaomi Mi 11 Lite, 6Gb, 128Gb, Bubblegum Blue (M2101K9AG)",149990₸,Android,6.55,128 Гб,64 + 8 + 5,16,Xiaomi,Corning Gorilla Glass 5,"Голубой, Черный"
"Смартфон Apple iPhone Xr (2020), 128Gb, Red (MH7N3)",319500₸,iOS,6.1,128 Гб,12,7,Apple,Стекло с олеофобным покрытием,Красный
"Смартфон Apple iPhone Xr (2020), 128Gb, Black (MH7L3)",319500₸,iOS,6.1,128 Гб,12,7,Apple,Стекло с олеофобным покрытием,Черный
"Смартфон Apple iPhone Xr (2020), 128Gb, White (MH7M3)",319500₸,iOS,6.1,128 Гб,12,7,Apple,Стекло с олеофобным покрытием,Белый
"Смартфон Apple iPhone SE (2020), 128Gb, White (MHGU3)",254990₸,iOS,4.7,128 Гб,12,7,Apple,Стекло с олеофобным покрытием,"Белый, Черный"
"Смартфон Apple iPhone SE (2020), 128Gb, Red (MHGV3)",254990₸,iOS,4.7,128 Гб,12,7,Apple,Стекло с олеофобным покрытием,"Красный, Черный"
"Смартфон Poco X3 Pro, 128Gb, Metal Bronze",119990₸,Android,6.67,128 Гб,48 + 8 + 2 + 2,20,Poco,Corning Gorilla Glass 6,Бронзовый
"Смартфон Poco X3 Pro, 256Gb, Phantom Black",129990₸,Android,6.67,256 Гб,48 + 8 + 2 + 2,20,Poco,Corning Gorilla Glass 6,Черный
"Смартфон Poco X3 Pro, 256Gb, Frost Blue",129990₸,Android,6.67,256 Гб,48 + 8 + 2 + 2,20,Poco,Corning Gorilla Glass 6,Синий
"Смартфон Poco X3 Pro, 128Gb, Frost Blue",119990₸,Android,6.67,128 Гб,48 + 8 + 2 + 2,20,Poco,Corning Gorilla Glass 6,Синий
"Смартфон Poco X3 Pro, 128Gb, Phantom Black",119990₸,Android,6.67,128 Гб,48 + 8 + 2 + 2,20,Poco,Corning Gorilla Glass 6,Черный
"Смартфон realme 7, 6Gb, 64Gb, Mist Blue (RMX2151)",108890₸,Android,6.5,64 Гб,64 + 8 + 2 + 2,16,realme,Corning Gorilla Glass,"Синий, Черный"
"Смартфон Samsung Galaxy A12, 64Gb, Blue (SM-A125F)",76900₸,Android,6.5,64 Гб,48 + 5 + 2 + 2,8,Samsung,,"Синий, Черный"
"Смартфон Samsung Galaxy A02, 32Gb, Red (SM-A022G)",49890₸,Android,6.5,32 Гб,13 + 2,5,Samsung,,"Красный, Черный"
"Смартфон Xiaomi Mi 11 Lite, 128Gb, Bubblegum Blue (M2101K9AG)",159990₸,Android,6.55,128 Гб,64 + 8 + 5,16,Xiaomi,Corning Gorilla Glass 5,"Голубой, Черный"
"Смартфон Samsung Galaxy A32, 64Gb, Awesome White (SM-A325F)",106990₸,Android,6.4,64 Гб,64 + 8 + 5 + 5,20,Samsung,,"Белый, Черный"
"Смартфон Samsung Galaxy A32, 128Gb, Awesome White (SM-A325F)",123590₸,Android,6.4,128 Гб,64 + 8 + 5 + 5,20,Samsung,,"Белый, Черный"
"Смартфон Samsung Galaxy A32, 64Gb, Awesome Blue (SM-A325F)",106990₸,Android,6.4,64 Гб,64 + 8 + 5 + 5,20,Samsung,,"Голубой, Черный"
"Смартфон Samsung Galaxy A32, 64Gb, Awesome Violet (SM-A325F)",106990₸,Android,6.4,64 Гб,64 + 8 + 5 + 5,20,Samsung,,"Фиолетовый, Черный"
"Смартфон Samsung Galaxy A32, 128Gb, Awesome Violet (SM-A325F)",129700₸,Android,6.4,128 Гб,64 + 8 + 5 + 5,20,Samsung,,"Фиолетовый, Черный"
"Смартфон Samsung Galaxy A32, 64Gb, Awesome Black (SM-A325F)",106990₸,Android,6.4,64 Гб,64 + 8 + 5 + 5,20,Samsung,,Черный
